"","Estimate","p.value","X.var","Y.var"
"1",-0.168,0.150004033489337,"OTU_1 G_Bacteroides","IL-1b_PAM"
"2",-0.148,0.203580889304331,"OTU_3760 G_Bacteroides","IL-1b_PAM"
"3",-0.152,0.192035269827245,"OTU_1 G_Bacteroides","MIP-1a_PAM"
"4",-0.165,0.158331406239503,"OTU_3760 G_Bacteroides","MIP-1a_PAM"
