"","Estimate","p.value","X.var","Y.var"
"1",0.311,0.0478146029321562,"OTU_4148 G_Dorea","DELIVERY"
"2",0.34,0.0293970332939518,"OTU_93 F_Lachnospiraceae","DELIVERY"
"3",0.308,0.0499199428250905,"IL-10_R848","DELIVERY"
"4",0.366,0.0185586551493364,"TNFa_R848","DELIVERY"
